in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G4802150	0	0	0	0	0	1.5025	12.5025	69.08	870.21
G4802170	0	0	2.125	38.735	64.91	134.2325	328.365	502.505	1426.555
G4802190	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4802210	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4802230	0	0	0	75.72	265.42	347.435	519.155	444.255	1317.0875
G4802250	0	0	0	17.43	48.1	78.7575	203.2325	413.965	1385.4525
G4802270	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4802290	0	0	0	0	23.585	101.3825	257.0075	554.3325	1740.8025
G4802310	0	0	0	75.72	265.42	347.435	519.155	444.255	1317.0875
G4802330	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4802350	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4802370	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4802390	0	0	0	0	22.6375	43.5925	85.53	224.7975	1124.5275
G4802410	0	0	0	0	0	32.7525	97.4925	282.995	1152.3725
G4802430	35.4475	33.245	75.49	67.195	136.395	282.07	490.4975	696.095	1888.305
G4802450	0	0	0	0	0	32.7525	97.4925	282.995	1152.3725
G4802470	0	0	0	0	0	7.535	131.8425	167.145	835.5325
G4802490	0	0	0	0	0	7.535	131.8425	167.145	835.5325
G4802510	0	0	2.095	60.1225	44.3575	62.2075	200.435	398.15	1567.3575
G4802530	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4802550	0	0	0	1.9	25.95	29.17	103.1375	319.875	1211.75
G4802570	0	0	0	75.72	265.42	347.435	519.155	444.255	1317.0875
G4802590	0	0	0	1.8775	25.7175	34.495	158.165	368.15	1162.645
G4802610	0	0	0	0	5.0175	4.65	18.6425	75.9125	1014.6675
G4802630	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4802650	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4802670	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4802690	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4802710	0	0	0	0	0	0	20.635	134.2925	1054.0225
G4802730	0	0	0	0	5.0175	4.65	18.6425	75.9125	1014.6675
G4802750	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4802770	0	19.1075	27.7525	151.95	223.8575	321.7125	488.63	606.88	1450.845
G4802790	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4802810	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4802830	0	0	0	0	12.115	24.3925	77.1225	130.5375	962.0025
G4802850	0	0	0	0	22.6375	43.5925	85.53	224.7975	1124.5275
G4802870	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4802890	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4802910	0	0	0	0	20.82	34.255	142.11	303.3	1185.96
G4802930	0	0	2.125	38.735	64.91	134.2325	328.365	502.505	1426.555
G4802950	54.2	33.365	146.155	400.44	504.3175	569.5375	599.6325	652.2475	1475.235
G4802970	0	0	0	0	0	7.535	131.8425	167.145	835.5325
G4802990	0	0	10.6325	15.485	212.6575	209.69	323.8025	275.645	1077.315
G4803010	0	0	8.575	81.5775	136.15	226.995	303.535	475.9975	1488.825
G4803030	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4803050	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4803070	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4803090	0	0	2.125	38.735	64.91	134.2325	328.365	502.505	1426.555
G4803110	0	0	0	0	0	7.535	131.8425	167.145	835.5325
G4803130	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
